time,date,hour,minute,second,price,volume,daytime,log_return
2010-10-05 08:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:30:00,42372918540,18972,74281,58891,131001.48179999868,489304,197206991.0,inf
2010-10-05 09:40:00,35840091915,16047,77695,54445,110675.32270000044,293504,168293945.0,-0.1686077402292949
2010-10-05 09:50:00,36965748195,16551,102475,64159,114342.4463999992,319088,175821659.0,0.03259696708565368
2010-10-05 10:00:00,53126956215,26430,8087,72358,164629.62310000107,470025,265181058.0,0.36450038083723146
2010-10-05 10:10:00,30654032625,15250,22053,39903,95085.4698999984,322802,154745203.0,-0.5489220719950333
2010-10-05 10:20:00,28020800970,13940,35294,39212,86924.38899999979,229992,142968612.0,-0.08973752146491722
2010-10-05 10:30:00,43739786880,21760,75852,56687,135961.18850000057,501999,225241887.0,0.44733081751015347
2010-10-05 10:40:00,31638981870,15740,69992,43969,98493.62499999958,402663,164443169.0,-0.3223776410599683
2010-10-05 10:50:00,18995449725,9450,51784,30738,59044.75539999993,205504,99709138.0,-0.5116961028298102
2010-10-05 11:00:00,17206460280,9416,3821,24010,53440.03159999963,214074,94566110.0,-0.09973560189599
2010-10-05 11:10:00,16060702995,8789,11175,24075,49857.86860000023,153782,89031575.0,-0.06938379105740802
2010-10-05 11:20:00,17729086410,9702,20872,28214,55006.95610000014,191330,99135414.0,0.09828332229253127
2010-10-05 11:30:00,29508275340,16148,52983,47673,91731.86969999966,517204,166825973.0,0.5114102101778584
2010-10-05 11:40:00,33488274330,18326,72652,47403,104379.0801999986,421213,190572603.0,0.1291594121849157
2010-10-05 11:50:00,13909895460,7612,37157,20101,43324.658199999925,257095,79855801.0,-0.8793073277823863
2010-10-05 12:00:00,21930196455,13092,5646,32809,68370.39290000008,310486,131517409.0,0.4562179322206242
2010-10-05 12:10:00,14653632645,8748,11184,25112,45672.80630000047,157198,88623512.0,-0.40343680593299114
2010-10-05 12:20:00,15035551740,8976,17828,20389,46857.76020000002,159565,91563189.0,0.02561356159332367
2010-10-05 12:30:00,17126056260,10224,28817,24249,53359.69860000038,165902,105145949.0,0.12993911892359472
2010-10-05 12:40:00,19296964800,11520,42452,25865,60131.55860000051,187728,119471065.0,0.11947905205549068
2010-10-05 12:50:00,15156157770,9048,40844,22856,47259.6265000003,131224,94587256.0,-0.24087843658288138
2010-10-05 13:00:00,17226561285,11141,3181,27954,53718.31650000014,214366,111756054.0,0.12809766410429102
2010-10-05 13:10:00,27578578860,17836,18615,37268,86024.6786999998,401740,180258768.0,0.4708801839732632
2010-10-05 13:20:00,13186259280,8528,15748,19218,41117.32880000009,141238,86874018.0,-0.7382045587684448
2010-10-05 13:30:00,15316965810,9906,27116,23972,47783.91700000033,296700,101795572.0,0.15025946049805786
2010-10-05 13:40:00,18231611535,11791,40585,28308,56922.438999999926,217149,121996808.0,0.17500050347171187
2010-10-05 13:50:00,20302015050,13130,55059,30807,63423.525599999775,223628,136836707.0,0.10814523694405544
2010-10-05 14:00:00,13950097470,9716,2968,19714,43573.31579999983,147095,97476514.0,-0.37538991880446265
2010-10-05 14:10:00,15377268825,10710,10827,23125,48041.52300000024,167494,108205825.0,0.09762075940025924
2010-10-05 14:20:00,12603330135,8778,15208,15896,39329.88320000013,135389,89316696.0,-0.20008108276086345
2010-10-05 14:30:00,25930296450,18060,43234,38079,81002.54340000016,249774,184961479.0,0.7224959374833579
2010-10-05 14:40:00,11256562800,7840,24980,12334,35144.68399999991,138989,80910334.0,-0.8350071849136945
2010-10-05 14:50:00,13829491440,9632,38166,21579,43191.19540000015,135585,100158179.0,0.20616329502698832
2010-10-05 15:00:00,19437671835,14505,3637,22807,60723.73919999982,206269,145436507.0,0.3406980479262412
2010-10-05 15:10:00,25307165295,18885,18516,37966,79124.59010000054,294586,190739566.0,0.2646889878211804
2010-10-05 15:20:00,19558277865,14595,23670,31075,61173.250399999866,206923,148348075.0,-0.25731369103870577
2010-10-05 15:30:00,29769588405,22215,51321,40608,93129.47990000052,307258,227322708.0,0.4202807728499021
2010-10-05 15:40:00,48322816020,36060,106890,73336,151062.91159999894,511247,371362336.0,0.48370560130864165
2010-10-05 15:50:00,61308065250,45750,168261,84772,191684.82219999493,801736,474410872.0,0.23815608900484508
2010-10-05 16:00:00,100505025,80,0,0,313.92,756,800000.0,-6.414469574770008
2010-10-05 16:10:00,0,0,0,0,0.0,0,0.0,-inf
2010-10-05 16:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 16:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 16:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 16:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 21:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 21:10:00,0,0,0,0,0.0,0,0.0,
