time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 10:05:00,20100104.0,10.0,6.853394355453852,31.10327993897788,58.35242868039554,58.379804729212886,4.086498855835241,6.8308161708619375,0.02737604881769683
2010-01-04 10:10:00,20100104.0,10.0,12.176924136031943,32.05989260636101,58.2524397631829,58.27077103125335,4.343521960622333,3.7163706457386754,0.018331268071044442
2010-01-04 10:15:00,20100104.0,10.0,17.066819464033852,28.798836389280677,58.295883286320894,58.30851375176224,3.336212976022567,3.507228490832158,0.012630465444286781
2010-01-04 10:20:00,20100104.0,10.0,21.64919564089258,26.45234388514098,58.216005881333665,58.147529839128865,4.200830306175402,3.411001556824079,-0.06847604220723304
2010-01-04 10:25:00,20100104.0,10.0,27.14848839151495,30.31301152497077,58.325812593948804,58.23930683146563,4.073993652914648,5.256221813930182,-0.08650576248539572
2010-01-04 10:30:00,20100104.0,10.0,31.423430692270454,29.626270776182025,58.427832822329506,58.41986445053854,4.31757301920284,5.844924963692109,-0.007968371792803334
2010-01-04 10:35:00,20100104.0,10.0,36.93863939528679,29.616273899510894,58.31805691418539,58.30067140951742,4.062249888839484,4.608048021342819,-0.0173855046687403
2010-01-04 10:40:00,20100104.0,10.0,42.417693522906795,30.330173775671405,58.29098894154843,57.87071721958953,3.4372827804107424,3.8278041074249605,-0.4202717219589442
2010-01-04 10:45:00,20100104.0,10.0,46.45303430079156,28.54089709762533,58.33166226912984,58.274794195248504,4.999472295514511,4.37335092348285,-0.05686807387862782
2010-01-04 10:50:00,20100104.0,10.0,52.270293797606094,27.983895538628943,58.5447159956497,58.58026985854252,3.139499455930359,4.1878128400435255,0.03555386289445091
2010-01-04 10:55:00,20100104.0,10.0,57.00422225975342,31.082587400776895,58.621219388616296,58.667578111807906,3.2551933794967067,5.180206046275967,0.04635872318865013
2010-01-04 11:00:00,20100104.0,11.0,1.5549685023369233,22.300955090428776,58.75303190408385,58.75634627108351,4.565738671001829,6.570006096321886,0.0033143669985769564
2010-01-04 11:05:00,20100104.0,11.0,7.082539682539682,28.594331065759636,58.78629931973044,58.803757369615475,4.152154195011338,4.100226757369614,0.017458049886621287
2010-01-04 11:10:00,20100104.0,11.0,11.634865798564975,29.689077863406855,58.70266542652119,58.7322030294958,4.404996013818762,4.7937815572681375,0.029537602976347405
2010-01-04 11:15:00,20100104.0,11.0,16.611982082866742,29.639977603583425,58.77997200447883,58.70492161254237,5.11030235162374,4.334266517357223,-0.07505039193729374
2010-01-04 11:20:00,20100104.0,11.0,22.279632152588555,33.97513623978202,58.71065735694863,58.537629427794556,5.087193460490464,4.800068119891008,-0.17302792915533
2010-01-04 11:25:00,20100104.0,11.0,27.27240566037736,31.807193396226417,58.763254716980455,58.77453223270483,4.088836477987422,4.090801886792453,0.011277515723270877
2010-01-04 11:30:00,20100104.0,11.0,32.00363497225942,31.935527070977617,58.81994834513328,58.87621388942118,4.444423187296729,5.0864740769083605,0.056265544289264516
2010-01-04 11:35:00,20100104.0,11.0,37.133478913607206,31.330148764842363,58.94682544015126,58.95726491060396,8.470042309267095,18.68281697829944,0.01043947045175119
